event,stage,breaker 1 (red),breaker 2 (blue),winner,battle rounds,number of judges,breaker 1 round wins,breaker 2 round wins,breaker 1 vote count,breaker 2 vote count,judge 1 name ,judge 2 name,judge 3 name,judge 4 name,judge 5 name,judge 6 name ,judge 7 name,judge 8 name,judge 9 name,r1j1over,r1j2over,r1j3over,r1j4over,r1j5over,r1j6over,r1j7over,r1j8over,r1j9over,r2j1over,r2j2over,r2j3over,r2j4over,r2j5over,r2j6over,r2j7over,r2j8over,r2j9over,r3j1over,r3j2over,r3j3over,r3j4over,r3j5over,r3j6over,r3j7over,r3j8over,r3j9over,r4j1over,r4j2over,r4j3over,r4j4over,r4j5over,r4j6over,r4j7over,r4j8over,r4j9over,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (6-9 ans) Top 8 KnockOut,Chakal,B-Girl Fierce,B-Girl Fierce,2,3,0,2,2,4,Dazl,Prototype,Omegatron,,,,,,,100,100,-100,,,,,,,100,-100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (6-9 ans) Top 8 KnockOut,Dragon Uzi,B-Lion,B-Lion,3,3,1,2,5,4,Dazl,Prototype,Omegatron,,,,,,,-100,-100,-100,,,,,,,-97,100,100,,,,,,,100,-100,100,,,,,,,,,,,,,,,,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (6-9 ans) Top 8 KnockOut,B-Girl Fierce,B-Lion,B-Girl Fierce,2,3,2,0,5,1,Dazl,Prototype,Omegatron,,,,,,,-100,-100,-100,,,,,,,-100,-100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (6-9 ans) Top 8 KnockOut,Chakal,Dragon Uzi,Chakal,2,3,2,0,5,1,Dazl,Prototype,Omegatron,,,,,,,-100,85,-100,,,,,,,-100,-100,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (6-9 ans) Top 8 KnockOut,Nico Smash,B-Lion,B-Lion,1,3,0,1,0,3,Dazl,Prototype,Omegatron,,,,,,,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (6-9 ans) Top 8 KnockOut,B-Girl Fierce,PigouBoy,B-Girl Fierce,1,3,1,0,3,0,Dazl,Prototype,Omegatron,,,,,,,-100,-100,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (6-9 ans) Top 8 KnockOut,B-Boy Romenz,Dragon Uzi,Dragon Uzi,1,3,0,1,0,3,Dazl,Prototype,Omegatron,,,,,,,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (6-9 ans) Top 8 KnockOut,Chakal,White Walker,Chakal,1,3,1,0,3,0,Dazl,Prototype,Omegatron,,,,,,,-100,-100,-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (10-13 ans) Top 32 KnockOut,B Girl Ace,B-Boy Slim,B Girl Ace,2,3,2,0,4,2,Dazl,Prototype,Omegatron,,,,,,,-100,-100,77,,,,,,,-100,23,-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (10-13 ans) Top 32 KnockOut,B-Boy Spinner,Tittch,Tittch,3,3,1,2,4,5,Dazl,Prototype,Omegatron,,,,,,,-100,-100,-41,,,,,,,-100,96,47,,,,,,,100,100,97,,,,,,,,,,,,,,,,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (10-13 ans) Top 32 KnockOut,Tittch,B-Boy Slim,B-Boy Slim,2,3,0,2,2,4,Dazl,Prototype,Omegatron,,,,,,,100,48,-64,,,,,,,-100,91,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (10-13 ans) Top 32 KnockOut,B Girl Ace,B-Boy Spinner,B Girl Ace,2,3,2,0,6,0,Dazl,Prototype,Omegatron,,,,,,,-100,-100,-22,,,,,,,-100,-98,-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
